compound_id	smiles
cpd05590	CCN1C[C@]2(COC(=O)c3ccccc3[NH+]=C(C)O)CC[C@H](OC)[C@]34C1[C@](O)(C[C@H]23)[C@@]1(O)C[C@H](OC)[C@H]2C[C@]4(O)[C@]1(O)[C@H]2OC
cpd05742	CO[C@@H]1C[C@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@]45O[C@@]46CC[C@H](C4=CC(=O)OC4)[C@@]6(C)CC[C@H]35)C2)O[C@H](C)[C@@H]1O
cpd02253	NC(Cn1ccc(O)nc1=O)C(=O)O
cpd19339	CC1=CC(=O)CC(C)(C)[C@H]1/C=C/[C@@H](C)O[C@@H]1O[C@H](CO[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O
cpd04652	CC(/C=C\C(=O)C(=O)[O-])C(=O)[O-]
cpd09678	CCCCCCCC/C=C\CCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCCCCCCCC
cpd04901	CC(C)(C)[NH2+]CC(O)c1ccc(O)c(CO)n1
cpd01552	CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@@H](O)[C@@H]1C/C=C\CCCC(=O)[O-]
cpd09068	CC(=O)OCCC(C)C
cpd10933	Oc1ccc2oc3cc(O)c(Cl)cc3c2c1
cpd03555	CCCCC[C@@H](/C=C/C=C\C/C=C\C/C=C\CCCC(=O)[O-])OO
cpd24656	O=P([O-])([O-])O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1OP(=O)([O-])[O-]
cpd07399	O=c1c(-c2ccc([O-])cc2)coc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12
cpd08892	NC1C=CC=C(C(=O)O)C1
cpd08531	COCCOCC(CC1(C(O)=N[C@H]2CC[C@@H](C(=O)[O-])CC2)CCCC1)C(=O)[O-]
cpd02122	O=C([O-])C(=O)[C@@H](O)[C@@H](O)[C@H](O)CO
cpd22635	C(=NC1CCCCC1)=NC1CCCCC1
cpd09246	CCC(C(O)=NC(=N)O)c1ccccc1
cpd01737	O=C1C[C@H](O)[C@@H](CO)O1
cpd08367	O=C([O-])[C@@H](O)CS(=O)(=O)[O-]
cpd09780	CCCCCC(=O)O[C@H]1[C@H](C)O[C@@H](O[C@@H]2[C@@H](C)O[C@@H](O[C@@H]3[C@@H](OC)[C@H](O)CC(=O)O[C@H](C)C/C=C/C=C/[C@H](O)[C@H](C)C[C@@H]3CC=O)[C@H](O)[C@H]2[NH+](C)C)C[C@@]1(C)O
cpd26526	O=CN(O)CCCP(=O)([O-])O
